numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20230601000000;102240;40;1;30;3.800000;285.950000;284.550000;91;7310;0;mq;mq;mq;mq;mq;mq;mq;mq;101370;mq;mq;-250;mq;mq;mq;mq;287.050000;mq;mq;7.700000;7.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20230601000000;102260;70;1;360;4.700000;286.250000;284.650000;90;7240;0;mq;mq;mq;0;mq;mq;mq;mq;101690;mq;mq;-230;mq;mq;mq;mq;287.850000;mq;mq;8.000000;8.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20230601000000;102320;70;1;70;11.400000;285.850000;283.950000;88;12000;3;0;mq;40;0;6000;30;20;11;102210;mq;mq;-180;mq;mq;mq;mq;mq;mq;mq;15.000000;15.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;0;6000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20230601000000;102190;50;1;20;3.100000;286.250000;284.950000;92;6820;0;mq;mq;100;8;250;mq;mq;mq;101380;mq;mq;-260;mq;mq;mq;mq;288.250000;mq;mq;5.100000;7.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20230601000000;102080;0;0;30;6.200000;286.250000;284.350000;88;12250;0;mq;mq;mq;0;mq;mq;mq;mq;100200;mq;mq;-300;mq;mq;mq;mq;288.450000;mq;mq;8.900000;10.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20230601000000;101930;50;2;320;1.600000;288.250000;282.650000;69;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100800;mq;mq;-220;mq;mq;mq;mq;286.250000;mq;mq;4.500000;7.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20230601000000;102030;-20;8;60;5.500000;285.650000;284.350000;92;8280;0;mq;mq;mq;2;250;mq;mq;mq;100850;mq;mq;-300;mq;mq;mq;mq;284.050000;mq;mq;8.600000;10.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20230601000000;102130;30;2;60;5.200000;286.850000;285.050000;89;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101430;mq;mq;-270;mq;mq;mq;mq;mq;mq;mq;9.400000;11.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20230601000000;101910;50;3;350;2.200000;287.750000;285.450000;86;15570;0;mq;mq;mq;0;mq;mq;mq;mq;101470;mq;mq;-330;mq;mq;mq;mq;288.150000;mq;mq;3.700000;5.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20230601000000;101960;60;3;10;5.700000;287.650000;285.550000;87;13400;0;mq;mq;mq;0;mq;mq;mq;mq;100230;mq;mq;-260;mq;mq;mq;mq;289.950000;mq;mq;8.800000;9.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20230601000000;101910;50;3;30;5.200000;291.250000;282.350000;56;41990;0;mq;mq;mq;0;mq;mq;mq;mq;100850;mq;mq;-250;mq;mq;mq;mq;mq;mq;mq;9.100000;10.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20230601000000;101830;50;3;360;0.900000;289.250000;279.350000;52;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100430;mq;mq;-130;mq;mq;mq;mq;286.250000;mq;mq;2.700000;4.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
