numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,20230901000000,101120.0,10.0,2.0,230.0,1.7,290.55,290.05,97.0,5510.0,60.0,,,,,,,,,100270.0,,,20.0,,,,,289.55,,,4.0,6.8,-10.0,,0.0,,,0.4,0.8,2.0,12.3,12.3,,,,,,,,,,,,,,,,
7015,20230901000000,101110.0,0.0,5.0,160.0,1.8,288.65,288.35,98.0,11010.0,0.0,,,100.0,8.0,150.0,,,,100550.0,,,70.0,,,,,289.45,,,3.4,3.4,-10.0,1.0,0.0,,,0.0,0.0,1.6,4.4,4.8,,,,,2.0,,120.0,7.0,,270.0,7.0,,540.0,,,
7020,20230901000000,100950.0,-60.0,6.0,210.0,6.5,291.15,290.65,97.0,8000.0,60.0,6.0,2.0,100.0,8.0,800.0,38.0,,,100840.0,,,-230.0,,,,,,,,9.9,10.8,-10.0,,,,,1.6,3.8,6.4,6.6,13.6,,,,,8.0,6.0,900.0,,,,,,,,,
7027,20230901000000,101150.0,-60.0,6.0,200.0,4.6,290.35,289.05,92.0,28840.0,0.0,,,100.0,7.0,800.0,,,,100360.0,,,-120.0,,,,,290.75,,,7.1,7.1,-10.0,1.0,0.0,,,-0.1,0.2,0.6,0.6,1.4,,,,,5.0,,780.0,6.0,,990.0,7.0,,1410.0,,,
7037,20230901000000,101220.0,0.0,0.0,250.0,4.7,289.45,289.15,98.0,7030.0,61.0,,,100.0,8.0,150.0,,,,99380.0,,,-10.0,,,,,289.45,,,7.7,9.3,-10.0,,0.0,,,2.9,5.5,5.7,8.3,9.3,,,,,6.0,,150.0,8.0,,510.0,,9.0,,,,
7072,20230901000000,101270.0,10.0,0.0,220.0,3.0,291.05,290.05,94.0,20000.0,0.0,,,100.0,4.0,450.0,,,,100160.0,,,50.0,,,,,288.65,,,4.8,5.0,-10.0,2.0,0.0,,,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,1.0,,510.0,4.0,,990.0,6.0,,2160.0,,,
7110,20230901000000,101040.0,-70.0,6.0,230.0,6.3,290.95,290.95,100.0,9500.0,61.0,,,100.0,8.0,80.0,,,,99890.0,,,-150.0,,,,,290.25,,,9.2,10.2,-10.0,2.0,0.0,,,1.0,4.3,8.1,9.9,13.3,,,,,8.0,,90.0,,9.0,,,,,,,
7117,20230901000000,100970.0,-70.0,6.0,200.0,4.5,291.25,290.45,95.0,,,,,,,,,,,100290.0,,,-240.0,,,,,,,,8.0,9.7,-10.0,,,,,0.0,3.6,5.6,5.6,10.2,,,,,,,,,,,,,,,,
7130,20230901000000,101290.0,-60.0,6.0,200.0,4.4,291.05,289.75,92.0,48660.0,0.0,,,100.0,8.0,450.0,,,,100850.0,,,-60.0,,,,,290.15,,,8.0,8.0,-10.0,1.0,0.0,,,0.0,-0.1,0.2,0.2,1.2,,,,,7.0,,300.0,7.0,,480.0,8.0,,1170.0,,,
7139,20230901000000,101320.0,-20.0,7.0,210.0,4.1,290.35,287.85,85.0,20000.0,0.0,,,100.0,8.0,450.0,,,,99620.0,,,-20.0,,,,,291.15,,,6.6,7.1,-10.0,0.0,0.0,,,0.0,-0.1,-0.1,-0.1,0.8,,,,,6.0,,480.0,8.0,,630.0,,,,,,
