ID,Nom,Latitude,Longitude,Altitude,Adresse,Ville,Region
7005,ABBEVILLE,50.136,1.834,69,"Abbeville, Chemin de la Station Météo, Le Haut de Justice, Abbeville, Somme, Hauts-de-France, France métropolitaine, 80100, France", Abbeville, Hauts-de-France
7015,LILLE-LESQUIN,50.57,3.0975,47,"Route de l'Aéroport, Lesquin, Lille, Nord, Hauts-de-France, France métropolitaine, 59810, France", Lille, Hauts-de-France
7020,PTE DE LA HAGUE,49.725167,-1.939833,6,"Le Cap, Auderville, La Hague, Cherbourg, Manche, Normandie, France métropolitaine, 50440, France", Cherbourg, Normandie
7027,CAEN-CARPIQUET,49.18,-0.456167,67,"Route de Caumont, Carpiquet, Caen, Calvados, Normandie, France métropolitaine, 14650, France", Caen, Normandie
7037,ROUEN-BOOS,49.383,1.181667,151,"Aéroport de Rouen Vallée de Seine, Allée des Glycines, Boos, Rouen, Seine-Maritime, Normandie, France métropolitaine, 76520, France", Rouen, Normandie
7072,REIMS-PRUNAY,49.209667,4.155333,95,"Aérodrome de Reims en Champagne, La Manielle D 931, Prunay, Reims, Marne, Grand Est, France métropolitaine, 51360, France", Reims, Grand Est
7110,BREST-GUIPAVAS,48.444167,-4.412,94,"Rue Roland Garros, ZAC de Prat Pip, Kernoas, Guipavas, Brest, Finistère, Bretagne, France métropolitaine, 29490, France", Brest, Bretagne
7117,PLOUMANAC'H,48.825833,-3.473167,55,"Sémaphore du Cribo de Ploumanac'h, Boulevard du Sémaphore, Ranolien, La Clarté, Perros-Guirec, Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22700, France", Lannion, Bretagne
7130,RENNES-ST JACQUES,48.068833,-1.734,36,"Rennes Aéroport Bretagne, Rue Louise Bodin, Saint-Jacques Aéroport, Saint-Jacques-de-la-Lande, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35091, France", Rennes, Bretagne
7139,ALENCON,48.4455,0.110167,143,"Avenue de Quakenbrück, Courteille, Alençon, Orne, Normandie, France métropolitaine, 61000, France", Alençon, Normandie
7149,ORLY,48.716833,2.384333,89,"Rue de la Travée, Orly Parc Centre, Acacias, Athis-Mons, Palaiseau, Essonne, Île-de-France, France métropolitaine, 91200, France", Palaiseau, Île-de-France
7168,TROYES-BARBEREY,48.324667,4.02,112,"Aéroport de Troyes en Champagne, D 91, Barberey-Saint-Sulpice, Troyes, Aube, Grand Est, France métropolitaine, 10600, France", Troyes, Grand Est
7181,NANCY-OCHEY,48.581,5.959833,336,"Base aérienne 133 Nancy-Ochey, Chemin de Crézilles, Ochey, Toul, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54170, France", Toul, Grand Est
7190,STRASBOURG-ENTZHEIM,48.5495,7.640333,150,"M 221, Holtzheim, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67810, France", Strasbourg, Grand Est
7207,BELLE ILE-LE TALUT,47.294333,-3.218333,34,"Sémaphore du Talut, GR 340, Envague, Bangor, Lorient, Morbihan, Bretagne, France métropolitaine, 56360, France", Lorient, Bretagne
7222,NANTES-BOUGUENAIS,47.15,-1.608833,26,"Aéroport Nantes-Atlantique, Rue de la Gilarderie, La Croix Jeannette, Le Rolly, Bouguenais, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44346, France", Nantes, Pays de la Loire
7240,TOURS,47.4445,0.727333,108,"La Rue de Parcay, Pièces de Chizay, Parçay-Meslay, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37210, France", Tours, Centre-Val de Loire
7255,BOURGES,47.059167,2.359833,161,"Bourges, Rue Charles Durand, Beaulieu, Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18000, France", Bourges, Centre-Val de Loire
7280,DIJON-LONGVIC,47.267833,5.088333,219,"Aéroport de Dijon-Bourgogne, Rue de l'Aviation, Ouges, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21600, France", Dijon, Bourgogne-Franche-Comté
7299,BALE-MULHOUSE,47.614333,7.51,263,"Route de service, Neuweg, Blotzheim, Mulhouse, Haut-Rhin, Grand Est, France métropolitaine, 68730, France", Mulhouse, Grand Est
7314,PTE DE CHASSIRON,46.046833,-1.4115,11,"La Conche, Saint-Denis-d'Oléron, Rochefort, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17650, France", Rochefort, Nouvelle-Aquitaine
